IMDB_ID,TITLE_TW,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRECTOR_RANK,DIRECTOR_SCORE,STAR_1,STAR_1_RANK,STAR_1_SCORE,STAR_2,STAR_2_RANK,STAR_2_SCORE,STAR_3,STAR_3_RANK,STAR_3_SCORE,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt3410834,分歧者3：赤誠者,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2381991,狩獵者：凜冬之戰,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3470600,歡樂好聲音,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3845232,新世紀福爾摩斯：地獄新娘,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3949660,忍者龜：破影而出,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2404233,荷魯斯之眼：王者爭霸,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4954660,名偵探柯南：純黑的惡夢,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2567026,魔境夢遊：時光怪客,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2267968,功夫熊貓3,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5827496,六弄咖啡館,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3824950,擺渡人,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1979388,恐龍當家,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4682786,最美的安排,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1860213,阿公歐買尬,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3416828,冰原歷險記：笑星撞地球,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1083452,飛躍奇蹟,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4172430,13小時：班加西的秘密士兵,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1289401,魔鬼剋星,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4136084,走音天后,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4786282,鬼關燈,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1596363,大賣空,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1860357,怒火地平線,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4160708,暫時停止呼吸,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3717252,決戰異世界：弒血之戰,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2241351,金錢怪獸,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2304933,第五毀滅,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4438848,惡鄰纏身2,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3691740,吹夢巨人,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4501244,惱爸偏頭痛,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1489889,中央情爆員,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3631112,列車上的女孩,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5842624,危城,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3014866,換腦行動,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1895587,驚爆焦點,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2638144,賓漢,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1179933,科洛弗10號地窖,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2025690,絕命救援,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4624424,送子鳥,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3774114,神鬼駭客：史諾登,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1985949,憤怒鳥玩電影,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1473832,BJ有喜,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3170832,不存在的房間,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3531824,玩命直播,,,,,,,,,,,,,,,,,,,,,,,,,,
tt6072662,我的蛋男情人,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4094724,國定殺戮日：大選之年,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4052882,絕鯊島,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4168022,妖怪手錶：誕生的秘密喵,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5930232,人生按個讚,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4076934,特工爺爺,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5251328,航海王電影：GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4960242,北京遇上西雅圖之不二情書,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3352390,非死不可,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4361050,碟仙：惡靈始源,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3464902,單身動物園,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5284414,少女與戰車劇場版,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2404435,絕地7騎士,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3882082,託陰,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4042994,如果這世界貓消失了,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2402927,因為愛你,,,,,,,,,,,,,,,,,,,,,,,,,,
