IMDB_ID,TITLE_TW,NICK_NAME,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRETCOR_OSCAR,DIRECTOR_WINS,DIRECTOR_NOMINATIONS,DIRECTOR_RATINGS,STAR_1,STAR_1_OSCARS,STAR_1_WINS,STAR_1_NOMINATIONS,STAR_1_RATINGS,STAR_2,STAR_2_OSCARS,STAR_2_WINS,STAR_2_NOMINATIONS,STAR_2_RATINGS,STAR_3,STAR_3_OSCARS,STAR_3_WINS,STAR_3_NOMINATIONS,STAR_3_RATINGS,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_PUSH,PTT_ARROW,PTT_PULL,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt2140379,換命法則,換命法則,Self/less,2015/9/4,USA,6.5,"Action,Mystery,Sci-Fi",26000000,117,Tarsem Singh,0,6,5,6.45,Ryan Reynolds,0,16,42,6.825,Natalie Martinez,0,0,0,6.7,Matthew Goode,0,2,13,7.725,4.2,134,0,0,0,0,0,81853,67,0
tt4046784,移動迷宮：焦土試煉,移動迷宮：焦土試煉/焦土試煉/移動迷宮,Maze Runner: The Scorch Trials,2015/9/9,USA,6.3,"Action,Sci-Fi,Thriller",61000000,131,Wes Ball,0,2,0,6.825,Dylan O'Brien,0,12,4,6.925,Kaya Scodelario,0,1,7,6.925,Thomas Brodie-Sangster,0,3,10,6.925,4.3,825,7,325,102,32,459,465127,1015,18
tt1798684,震撼擂台,震撼擂台,Southpaw,2015/9/18,"Hong Kong,USA",7.4,"Drama,Sport",30000000,124,Antoine Fuqua,0,4,7,7.125,Jake Gyllenhaal,0,36,91,7.8,Rachel McAdams,0,21,47,7.45,Oona Laurence,0,0,3,6.7,4.7,375,9,65,20,3,88,114890,112,2
tt2361509,高年級實習生,高年級實習生,The Intern,2015/9/25,USA,7.1,"Comedy,Drama",35000000,121,Nancy Meyers,0,6,4,6.8,Robert De Niro,0,51,90,8.225,Anne Hathaway,0,64,103,7.825,Rene Russo,0,4,27,6.8,4.7,18,2,8,3,0,11,807821,552,6
tt2719848,聖母峰,聖母峰,Everest,2015/9/25,"UK,USA,Iceland",7.1,"Action,Adventure,Drama",55000000,121,Baltasar Korm獺kur,0,34,27,6.8,Jason Clarke,0,1,4,7.35,Ang Phula Sherpa,0,0,0,7.1,Thomas M. Wright,0,0,1,7.075,4.4,365,37,481,436,99,1016,608272,825,31
tt2510894,尖叫旅社2,尖叫旅社2/尖叫旅社,Hotel Transylvania 2,2015/9/25,USA,6.7,"Animation,Comedy,Family",80000000,89,Genndy Tartakovsky,0,3,15,7.575,Adam Sandler,0,53,75,6.2,Andy Samberg,0,5,28,7.55,Selena Gomez,0,40,40,6.225,4.6,136,1,12,1,0,13,377735,621,23
tt3659388,絕地救援,絕地救援,The Martian,2015/10/2,"UK,USA",8,"Adventure,Drama,Sci-Fi",108000000,144,Ridley Scott,0,39,83,7.925,Matt Damon,0,35,139,8.275,Jessica Chastain,0,74,98,7.425,Kristen Wiig,0,11,65,7.375,4.6,631,15,271,141,16,428,361482,804,18
tt3488710,走鋼索的人,走鋼索的人,The Walk,2015/10/2,USA,7.3,"Adventure,Biography,Crime",35000000,123,Robert Zemeckis,0,33,36,7.575,Joseph Gordon-Levitt,0,21,63,8.075,Charlotte Le Bon,0,0,1,6.3,Guillaume Baillargeon,0,0,0,6.675,4.6,194,2,19,5,0,24,114715,116,8
tt3332064,潘恩：航向夢幻島,潘恩：航向夢幻島/潘恩/航向夢幻島,Pan,2015/10/8,"USA,UK,Australia",5.8,"Adventure,Family,Fantasy",150000000,111,Joe Wright,0,10,29,7.25,Levi Miller,0,2,2,6.3,Hugh Jackman,0,22,78,7.975,Garrett Hedlund,0,2,3,7.025,4.2,179,7,53,22,3,78,82195,175,6
tt4801606,百日告別,百日告別,Bai ri gaobie,2015/10/8,Taiwan,7,Drama,NA,96,Tom Lin,0,7,13,7.025,Kar Yan Lam,0,4,9,6.525,Chin-Hang Shih,0,0,0,6.2,Bryan Shu-Hao Chang,0,1,1,6.875,4,106,10,23,8,1,32,243893,650,7
tt3682448,間諜橋,間諜橋,Bridge of Spies,2015/10/16,"USA,Germany,India",7.6,"Drama,History,Thriller",40000000,142,Steven Spielberg,0,180,180,8.175,Tom Hanks,0,79,139,7.95,Mark Rylance,0,20,35,7.25,Alan Alda,0,38,60,7.475,4.6,279,2,9,1,1,11,62288,89,1
